0.000,0.000,0.500,-1
0.020,0.003,0.500,-1
0.040,0.006,0.500,-1
0.060,0.009,0.500,-1
0.080,0.013,0.500,-1
0.100,0.016,0.500,-1
0.120,0.019,0.500,-1
0.140,0.022,0.500,-1
0.160,0.025,0.499,-1
0.180,0.028,0.499,-1
0.200,0.031,0.499,-1
0.220,0.035,0.499,-1
0.240,0.038,0.499,-1
0.260,0.041,0.498,-1
0.280,0.044,0.498,-1
0.300,0.047,0.498,-1
0.320,0.050,0.497,-1
0.340,0.053,0.497,-1
0.360,0.056,0.497,-1
0.380,0.060,0.496,-1
0.400,0.063,0.496,-1
0.420,0.066,0.496,-1
0.440,0.069,0.495,-1
0.460,0.072,0.495,-1
0.480,0.075,0.494,-1
0.500,0.078,0.494,-1
0.520,0.081,0.493,-1
0.540,0.084,0.493,-1
0.560,0.088,0.492,-1
0.580,0.091,0.492,-1
0.600,0.094,0.491,-1
0.620,0.097,0.491,-1
0.640,0.100,0.490,-1
0.660,0.103,0.489,-1
0.680,0.106,0.489,-1
0.700,0.109,0.488,-1
0.720,0.112,0.487,-1
0.740,0.115,0.487,-1
0.760,0.118,0.486,-1
0.780,0.121,0.485,-1
0.800,0.124,0.484,-1
0.820,0.127,0.484,-1
0.840,0.130,0.483,-1
0.860,0.133,0.482,-1
0.880,0.136,0.481,-1
0.900,0.139,0.480,-1
0.920,0.143,0.479,-1
0.940,0.146,0.478,-1
0.960,0.149,0.477,-1
0.980,0.152,0.476,-1
1.000,0.155,0.476,-1
1.020,0.157,0.475,-1
1.040,0.160,0.474,-1
1.060,0.163,0.473,-1
1.080,0.166,0.471,-1
1.100,0.169,0.470,-1
1.120,0.172,0.469,-1
1.140,0.175,0.468,-1
1.160,0.178,0.467,-1
1.180,0.181,0.466,-1
1.200,0.184,0.465,-1
1.220,0.187,0.464,-1
1.240,0.190,0.463,-1
1.260,0.193,0.461,-1
1.280,0.196,0.460,-1
1.300,0.199,0.459,-1
1.320,0.201,0.458,-1
1.340,0.204,0.456,-1
1.360,0.207,0.455,-1
1.380,0.210,0.454,-1
1.400,0.213,0.452,-1
1.420,0.216,0.451,-1
1.440,0.219,0.450,-1
1.460,0.221,0.448,-1
1.480,0.224,0.447,-1
1.500,0.227,0.446,-1
1.520,0.230,0.444,-1
1.540,0.233,0.443,-1
1.560,0.235,0.441,-1
1.580,0.238,0.440,-1
1.600,0.241,0.438,-1
1.620,0.244,0.437,-1
1.640,0.246,0.435,-1
1.660,0.249,0.434,-1
1.680,0.252,0.432,-1
1.700,0.255,0.430,-1
1.720,0.257,0.429,-1
1.740,0.260,0.427,-1
1.760,0.263,0.425,-1
1.780,0.265,0.424,-1
1.800,0.268,0.422,-1
1.820,0.271,0.420,-1
1.840,0.273,0.419,-1
1.860,0.276,0.417,-1
1.880,0.278,0.415,-1
1.900,0.281,0.414,-1
1.920,0.284,0.412,-1
1.940,0.286,0.410,-1
1.960,0.289,0.408,-1
1.980,0.291,0.406,-1
2.000,0.294,0.405,-1
2.020,0.296,0.403,-1
2.040,0.299,0.401,-1
2.060,0.301,0.399,-1
2.080,0.304,0.397,-1
2.100,0.306,0.395,-1
2.120,0.309,0.393,-1
2.140,0.311,0.391,-1
2.160,0.314,0.389,-1
2.180,0.316,0.387,-1
2.200,0.319,0.385,-1
2.220,0.321,0.383,-1
2.240,0.324,0.381,-1
2.260,0.326,0.379,-1
2.280,0.328,0.377,-1
2.300,0.331,0.375,-1
2.320,0.333,0.373,-1
2.340,0.335,0.371,-1
2.360,0.338,0.369,-1
2.380,0.340,0.367,-1
2.400,0.342,0.364,-1
2.420,0.345,0.362,-1
2.440,0.347,0.360,-1
2.460,0.349,0.358,-1
2.480,0.351,0.356,-1
2.500,0.354,0.354,-1
2.520,0.356,0.351,-1
2.540,0.358,0.349,-1
2.560,0.360,0.347,-1
2.580,0.362,0.345,-1
2.600,0.364,0.342,-1
2.620,0.367,0.340,-1
2.640,0.369,0.338,-1
2.660,0.371,0.335,-1
2.680,0.373,0.333,-1
2.700,0.375,0.331,-1
2.720,0.377,0.328,-1
2.740,0.379,0.326,-1
2.760,0.381,0.324,-1
2.780,0.383,0.321,-1
2.800,0.385,0.319,-1
2.820,0.387,0.316,-1
2.840,0.389,0.314,-1
2.860,0.391,0.311,-1
2.880,0.393,0.309,-1
2.900,0.395,0.306,-1
2.920,0.397,0.304,-1
2.940,0.399,0.301,-1
2.960,0.401,0.299,-1
2.980,0.403,0.296,-1
3.000,0.405,0.294,-1
3.020,0.406,0.291,-1
3.040,0.408,0.289,-1
3.060,0.410,0.286,-1
3.080,0.412,0.284,-1
3.100,0.414,0.281,-1
3.120,0.415,0.278,-1
3.140,0.417,0.276,-1
3.160,0.419,0.273,-1
3.180,0.420,0.271,-1
3.200,0.422,0.268,-1
3.220,0.424,0.265,-1
3.240,0.425,0.263,-1
3.260,0.427,0.260,-1
3.280,0.429,0.257,-1
3.300,0.430,0.255,-1
3.320,0.432,0.252,-1
3.340,0.434,0.249,-1
3.360,0.435,0.246,-1
3.380,0.437,0.244,-1
3.400,0.438,0.241,-1
3.420,0.440,0.238,-1
3.440,0.441,0.235,-1
3.460,0.443,0.233,-1
3.480,0.444,0.230,-1
3.500,0.446,0.227,-1
3.520,0.447,0.224,-1
3.540,0.448,0.221,-1
3.560,0.450,0.219,-1
3.580,0.451,0.216,-1
3.600,0.452,0.213,-1
3.620,0.454,0.210,-1
3.640,0.455,0.207,-1
3.660,0.456,0.204,-1
3.680,0.458,0.201,-1
3.700,0.459,0.199,-1
3.720,0.460,0.196,-1
3.740,0.461,0.193,-1
3.760,0.463,0.190,-1
3.780,0.464,0.187,-1
3.800,0.465,0.184,-1
3.820,0.466,0.181,-1
3.840,0.467,0.178,-1
3.860,0.468,0.175,-1
3.880,0.469,0.172,-1
3.900,0.470,0.169,-1
3.920,0.471,0.166,-1
3.940,0.473,0.163,-1
3.960,0.474,0.160,-1
3.980,0.475,0.157,-1
4.000,0.476,0.155,-1
4.020,0.476,0.152,-1
4.040,0.477,0.149,-1
4.060,0.478,0.146,-1
