0.000,0.000,0.000,-0.700
0.020,0.011,0.013,-0.692
0.040,0.022,0.025,-0.684
0.060,0.033,0.037,-0.676
0.080,0.044,0.050,-0.669
0.100,0.055,0.062,-0.661
0.120,0.066,0.074,-0.653
0.140,0.076,0.085,-0.645
0.160,0.087,0.096,-0.638
0.180,0.098,0.107,-0.630
0.200,0.108,0.118,-0.623
0.220,0.119,0.127,-0.615
0.240,0.129,0.137,-0.608
0.260,0.139,0.146,-0.601
0.280,0.149,0.154,-0.594
0.300,0.159,0.162,-0.587
0.320,0.169,0.169,-0.580
0.340,0.178,0.175,-0.573
0.360,0.188,0.181,-0.566
0.380,0.197,0.186,-0.559
0.400,0.206,0.190,-0.553
0.420,0.215,0.194,-0.547
0.440,0.223,0.196,-0.541
0.460,0.231,0.198,-0.535
0.480,0.240,0.200,-0.529
0.500,0.247,0.200,-0.523
0.520,0.255,0.200,-0.518
0.540,0.263,0.198,-0.512
0.560,0.270,0.196,-0.507
0.580,0.277,0.194,-0.502
0.600,0.283,0.190,-0.498
0.620,0.289,0.186,-0.493
0.640,0.296,0.181,-0.489
0.660,0.301,0.175,-0.485
0.680,0.307,0.169,-0.481
0.700,0.312,0.162,-0.477
0.720,0.317,0.154,-0.474
0.740,0.321,0.146,-0.471
0.760,0.325,0.137,-0.468
0.780,0.329,0.127,-0.465
0.800,0.333,0.118,-0.462
0.820,0.336,0.107,-0.460
0.840,0.339,0.096,-0.458
0.860,0.342,0.085,-0.456
0.880,0.344,0.074,-0.454
0.900,0.346,0.062,-0.453
0.920,0.347,0.050,-0.452
0.940,0.348,0.037,-0.451
0.960,0.349,0.025,-0.450
0.980,0.350,0.013,-0.450
1.000,0.350,-0.000,-0.450
1.020,0.350,-0.013,-0.450
1.040,0.349,-0.025,-0.450
1.060,0.348,-0.037,-0.451
1.080,0.347,-0.050,-0.452
1.100,0.346,-0.062,-0.453
1.120,0.344,-0.074,-0.454
1.140,0.342,-0.085,-0.456
1.160,0.339,-0.096,-0.458
1.180,0.336,-0.107,-0.460
1.200,0.333,-0.118,-0.462
1.220,0.329,-0.127,-0.465
1.240,0.325,-0.137,-0.468
1.260,0.321,-0.146,-0.471
1.280,0.317,-0.154,-0.474
1.300,0.312,-0.162,-0.477
1.320,0.307,-0.169,-0.481
